fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Cro Race Stage 6.gpx,https://www.komoot.com/tour/2984888812,57.4,21.3,3.08,126.0,1.95,3.41,25.3,26.5,5.5,0.0,8.98,0.901,0.0,0.925
2023 Cupa Max Ausnit.gpx,https://www.komoot.com/tour/2984890446,162.0,10.5,0.413,169.0,2.55,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Czech Tour Stage 1.gpx,https://www.komoot.com/tour/2984892325,163.0,0.0,1.01,164.0,0.0,1.06,0.0,0.202,0.202,0.0,0.842,0.0,0.0,0.0
2023 Czech Tour Stage 2.gpx,https://www.komoot.com/tour/2984893775,123.0,31.2,12.2,166.0,0.0,1.35,0.0,0.0,0.24,0.0,0.801,0.0,0.0,0.0
2023 Czech Tour Stage 3.gpx,https://www.komoot.com/tour/2984895064,78.2,40.6,23.9,160.0,0.0,1.36,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0
2023 Czech Tour Stage 4.gpx,https://www.komoot.com/tour/2984896700,109.0,53.9,12.8,172.0,0.0,1.61,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0
2023 Danilith Nokere Koerse.gpx,https://www.komoot.com/tour/2984898068,101.0,2.59,16.1,107.0,0.0,63.6,0.187,0.187,0.0,20.7,58.0,0.0,0.0,0.0
2023 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2984899622,76.5,11.5,19.8,137.0,0.0,62.4,0.681,0.84,0.795,5.48,86.0,0.0,0.0,0.126
2023 Deutschland Tour Prologue.gpx,https://www.komoot.com/tour/2984900829,2.26,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Deutschland Tour Stage 1.gpx,https://www.komoot.com/tour/2984902161,141.0,18.6,3.29,167.0,0.0,10.8,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2023 Deutschland Tour Stage 2.gpx,https://www.komoot.com/tour/2984904147,124.0,61.5,5.7,196.0,0.735,4.86,0.382,0.523,0.964,0.297,4.95,0.0,0.0,0.0
2023 Deutschland Tour Stage 3.gpx,https://www.komoot.com/tour/2984906475,104.0,34.7,5.94,155.0,0.0,17.2,0.0,0.237,0.479,1.59,23.7,0.0,0.0,0.0
2023 Deutschland Tour Stage 4.gpx,https://www.komoot.com/tour/2984908787,97.6,3.38,5.17,160.0,1.14,8.77,2.24,2.79,3.34,2.97,21.5,1.86,0.318,0.0
2023 Donostia San Sebastian Klasikoa.gpx,https://www.komoot.com/tour/2984911613,152.0,56.4,15.7,227.0,0.0,2.02,0.498,0.498,0.703,0.89,5.49,0.0,0.0,0.0
2023 Dookola Mazowsza Stage 1.gpx,https://www.komoot.com/tour/2984913654,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,18.8,18.8,0.0,0.0,0.0
