fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 Coppa Sabatini - Gran Premio citta di Peccioli.gpx,https://www.komoot.com/tour/2973466341,160.0,44.3,5.25,0.0,0.0,0.0,0.0,183.0,26.4,0.708,1.09,0.0,1.09,0.0,0.0
2021 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-1.gpx,https://www.komoot.com/tour/2973467284,61.0,0.0,5.23,4.6,0.0,0.824,0.0,70.3,3.95,0.905,0.44,0.0,0.0,0.0,0.0
2021 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-2.gpx,https://www.komoot.com/tour/2973468124,93.4,0.69,1.27,0.774,0.0,0.284,0.0,85.4,10.6,0.408,0.0,0.0,0.0,0.0,0.0
2021 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,https://www.komoot.com/tour/2973469107,171.0,14.1,3.49,0.101,0.506,2.3,0.0,187.0,2.77,1.26,1.33,0.349,0.339,0.0,0.0
2021 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3.gpx,https://www.komoot.com/tour/2973470384,154.0,30.7,11.0,9.78,0.0,3.56,0.0,199.0,6.51,2.43,0.911,0.0,0.0,0.0,0.0
2021 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,https://www.komoot.com/tour/2973471769,124.0,12.9,12.9,11.4,0.0,0.258,0.299,151.0,1.09,9.51,0.275,0.299,0.201,0.0,0.0
2021 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2973472669,178.0,0.0,0.0,4.35,0.0,0.0,0.0,181.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0
2021 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2973473706,172.0,0.0,0.0,0.996,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2973474810,119.0,51.2,0.0,0.864,0.0,0.0,0.0,165.0,6.22,0.0,0.0,0.0,0.0,0.0,0.0
2021 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2973475634,13.5,0.0,1.41,1.42,0.0,0.0,0.0,13.1,3.29,0.0,0.0,0.0,0.0,0.0,0.0
2021 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2973476674,163.0,2.79,3.88,0.557,0.0,0.0,0.0,161.0,9.63,0.0,0.498,0.0,0.498,0.0,0.0
2021 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2973478289,88.0,56.9,0.0,20.8,0.0,0.0,0.0,166.0,0.143,0.0,1.42,0.0,1.42,0.0,0.0
2021 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2973479600,117.0,13.2,0.444,41.0,0.0,0.0,0.0,171.0,0.193,0.0,0.0,0.0,0.0,0.0,0.0
2021 Criterium du Dauphine Stage 8.gpx,https://www.komoot.com/tour/2973480733,115.0,22.9,0.501,6.05,0.0,0.0,0.0,143.0,1.01,0.0,3.79,0.0,3.5,0.0,0.0
2021 CroRace Stage 1.gpx,https://www.komoot.com/tour/2973481843,30.8,158.0,2.49,41.9,0.0,1.44,0.0,231.0,2.26,0.694,3.5,0.338,3.4,0.0,0.0
2021 CroRace Stage 2.gpx,https://www.komoot.com/tour/2973482816,57.2,129.0,0.6,0.0,0.0,0.755,0.0,185.0,1.55,0.0,0.0,0.755,0.227,0.0,0.0
2021 CroRace Stage 3.gpx,https://www.komoot.com/tour/2973483968,17.3,134.0,6.09,0.0,0.0,2.7,0.283,155.0,2.76,0.206,10.1,1.78,9.24,0.391,0.0
2021 CroRace Stage 4.gpx,https://www.komoot.com/tour/2973485170,3.67,188.0,6.08,0.0,0.0,0.109,0.0,197.0,0.241,0.135,0.0,0.0,0.0,0.0,0.0
2021 CroRace Stage 5.gpx,https://www.komoot.com/tour/2973486404,73.5,55.2,2.39,0.0,0.0,0.308,0.0,129.0,2.14,0.0,6.84,0.0,6.84,0.0,0.0
2021 CroRace Stage 6.gpx,https://www.komoot.com/tour/2973487827,62.3,21.8,7.63,9.9,0.218,5.7,0.816,125.0,2.14,1.3,26.3,2.72,25.3,0.0,0.0
2021 Croatian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973488658,24.9,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Croatian Road National Championships.gpx,https://www.komoot.com/tour/2973489712,52.3,0.0,0.0,0.0,0.0,0.0,0.0,18.3,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Cycling Tour of Szeklerland Stage 1.gpx,https://www.komoot.com/tour/2973490697,60.7,57.2,0.0,3.32,0.0,0.0,0.0,121.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0
2021 Cycling Tour of Szeklerland Stage 2.gpx,https://www.komoot.com/tour/2973491667,56.3,62.0,2.4,0.665,0.133,0.0,0.0,118.0,3.67,0.151,0.0,0.0,0.0,0.0,0.0
2021 Cycling Tour of Szeklerland Stage 3.gpx,https://www.komoot.com/tour/2973492490,19.3,98.3,0.103,0.0,0.0,0.0,0.0,104.0,3.83,9.74,0.0,0.0,0.0,0.0,0.0
2021 Cycling Tour of Szeklerland Stage 4.gpx,https://www.komoot.com/tour/2973493853,78.5,31.7,7.81,9.36,0.92,6.64,0.0,132.0,4.28,7.07,0.926,0.0,0.0,0.0,0.0
2021 Danilith Nokere Koerse.gpx,https://www.komoot.com/tour/2973494753,99.3,3.87,19.1,57.6,0.0,0.0,0.226,109.0,66.5,17.2,1.32,0.226,1.32,0.0,0.0
2021 De Brabantse Pijl - La Fleche Brabanconne.gpx,https://www.komoot.com/tour/2973495961,79.3,11.7,20.9,85.0,0.0,0.782,0.0,134.0,64.4,3.47,0.681,0.0,0.681,0.0,0.0
2021 Deutschland Tour Stage 1.gpx,https://www.komoot.com/tour/2973497871,112.0,36.2,5.85,9.39,0.0,0.166,0.405,178.0,9.5,1.7,1.23,0.344,0.754,0.121,0.0
2021 Deutschland Tour Stage 2.gpx,https://www.komoot.com/tour/2973499191,121.0,41.5,6.07,5.84,0.0,0.0,0.0,174.0,3.75,2.54,4.71,0.0,0.0,0.0,0.0
2021 Deutschland Tour Stage 3.gpx,https://www.komoot.com/tour/2973500273,175.0,2.59,3.66,8.41,0.0,1.25,0.0,185.0,6.65,1.06,0.0,0.143,0.0,0.0,0.0
2021 Deutschland Tour Stage 4.gpx,https://www.komoot.com/tour/2973501728,114.0,17.0,5.23,17.4,0.259,0.601,0.0,144.0,6.78,5.62,0.0,0.0,0.0,0.188,0.0
