fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Colorado Classic Stage 1.gpx,https://www.komoot.com/tour/2969986990,48.0,0.0,26.9,29.0,3.61,0.0,94.6,4.14,5.63,3.61,4.02,3.66,0.0,0.0,0.0
2018 Colorado Classic Stage 2.gpx,https://www.komoot.com/tour/2969988034,6.82,0.0,0.412,8.59,0.581,0.0,15.6,0.0,0.25,0.581,0.0,0.0,0.0,0.0,0.0
2018 Colorado Classic Stage 3.gpx,https://www.komoot.com/tour/2969989008,101.0,17.4,2.39,38.2,0.0,0.0,149.0,9.25,0.0,0.765,0.0,0.0,0.0,0.0,0.0
2018 Commowealth Games - ITT.gpx,https://www.komoot.com/tour/2969990908,33.3,1.19,1.8,1.94,0.208,0.0,3.03,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Commowealth Games.gpx,https://www.komoot.com/tour/2969992622,124.0,5.43,23.9,15.9,0.0,0.0,26.2,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2969993895,189.0,0.267,6.44,2.05,0.0,0.0,167.0,31.4,0.0,0.0,0.153,0.0,0.0,0.0,0.0
2018 Coppa Sabatini.gpx,https://www.komoot.com/tour/2969994854,166.0,30.7,0.0,0.0,0.185,0.0,196.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0
2018 Coppa della Pace - Trofeo Fratelli Anelli.gpx,https://www.komoot.com/tour/2969995811,131.0,35.2,0.0,4.42,0.796,0.0,163.0,7.76,0.0,0.796,0.0,0.0,0.0,0.0,0.0
2018 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-1.gpx,https://www.komoot.com/tour/2969997110,48.8,34.3,4.27,2.6,0.0,0.0,86.6,3.11,1.24,1.18,2.22,0.0,0.0,0.0,0.0
2018 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 1-2.gpx,https://www.komoot.com/tour/2969998039,96.7,5.15,1.09,0.0,0.0,0.0,102.0,0.232,2.08,0.0,1.53,0.0,0.0,0.0,0.0
2018 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,https://www.komoot.com/tour/2969998934,125.0,5.34,2.08,11.5,0.0,0.0,132.0,1.51,10.4,0.0,0.389,0.559,0.559,0.0,0.0
2018 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3.gpx,https://www.komoot.com/tour/2969999969,136.0,49.2,7.53,1.45,0.358,0.0,191.0,3.56,2.28,1.1,3.54,0.0,0.0,0.0,0.0
2018 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,https://www.komoot.com/tour/2970000984,159.0,8.76,5.01,2.24,5.82,0.128,164.0,9.14,2.22,6.16,0.977,0.518,0.0,0.0,0.0
2018 Criterium du Dauphine Prologue.gpx,https://www.komoot.com/tour/2970001830,3.12,1.55,0.0,1.84,0.0,0.0,5.85,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2970002800,105.0,71.8,0.0,1.2,0.544,0.0,177.0,1.58,0.0,0.544,0.0,0.0,0.0,0.0,0.0
