rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
hodeg_álvaro_josé,UAE Team Emirates,-0.467675,-0.3735,-0.6153,0.0112,0,0.5077,0.3389,,,,,578,85
jasim_al-ali_abdulla,UAE Team Emirates,-0.735525,-0.5207,-0.7785,0.3807,0,0.4799,0.2581,,,,,590,15
johansen_julius,UAE Team Emirates,-0.435297,-0.3529,-0.649,0.2951,0,0.5427,0.1551,,,,,310,89
kluckers_arthur,UAE Team Emirates,-0.883609,-0.5867,-0.927,0.6484,0,0.1999,-0.019,,,,,281,11
knight_oliver,UAE Team Emirates,-0.93099,-0.6058,-0.8518,0.2432,0,-0.2066,-0.0263,,,,,281,12
kristoff_alexander,UAE Team Emirates,0.272805,0.3136,-0.1876,1.1402,0,0.8011,0.2614,,,,,955,257
laengen_vegard_stake,UAE Team Emirates,0.380314,0.4627,0.1954,0.842,1,0.3552,0.331,,,,,2107,528
majka_rafał,UAE Team Emirates,-0.269992,-0.2366,-0.4304,0.0665,0,0.5779,0.324,,,,,1424,332
marcato_marco,UAE Team Emirates,0.138054,0.148,-0.1632,0.5716,0,0.5817,0.2642,,,,,932,227
marivoet_duarte,UAE Team Emirates,0.190476,0.2098,-0.4525,1.5365,0,0.1338,0.253,,,,,590,17
martin_dan,UAE Team Emirates,0.744179,1.1047,0.3589,2.8913,1,0.7538,0.1997,,,,,522,137
mcnulty_brandon,UAE Team Emirates,-0.057856,-0.0562,-0.3172,0.2625,0,0.5631,0.3247,,,,,1616,402
mirza_yousif,UAE Team Emirates,-0.344406,-0.2914,-0.5312,0.0651,0,0.4118,0.272,,,,,1213,102
molano_juan_sebastián,UAE Team Emirates,0.047199,0.0483,-0.1433,0.3152,0,0.3833,0.3236,,,,,1884,425
morgado_antónio,UAE Team Emirates,0.726409,1.0676,0.2129,2.2933,1,0.3464,0.2849,,,,,593,100
mori_manuele,UAE Team Emirates,0.3766,0.4573,-0.2763,1.6334,0,0.619,0.2071,,,,,505,133
muñoz_cristian_camilo,UAE Team Emirates,0.042006,0.0429,-0.3473,0.652,0,0.3943,0.2105,,,,,702,107
niemiec_przemysław,UAE Team Emirates,-1.217986,-0.7042,-0.9536,0.0273,0,0.8392,0.0787,,,,,237,36
novak_domen,UAE Team Emirates,0.112976,0.1196,-0.2868,0.7468,0,0.4862,0.3463,,,,,885,216
oliveira_ivo,UAE Team Emirates,-0.173863,-0.1596,-0.3417,0.0625,0,0.3976,0.3233,,,,,1866,356
oliveira_rui,UAE Team Emirates,-0.320061,-0.2739,-0.4234,-0.1061,1,0.3706,0.3371,,,,,1870,417
petilli_simone,UAE Team Emirates,-0.100156,-0.0953,-0.4682,0.4385,0,0.515,0.1587,,,,,505,98
philipsen_jasper,UAE Team Emirates,0.064409,0.0665,-0.3889,0.736,0,0.4616,0.1237,,,,,460,115
pogačar_tadej,UAE Team Emirates,1.346201,2.8428,1.0049,6.293,1,0.8798,0.3217,,,,,1905,373
polanc_jan,UAE Team Emirates,0.307517,0.36,0.0025,0.8729,1,0.4787,0.2456,,,,,1268,333
politt_nils,UAE Team Emirates,-0.302198,-0.2608,-0.5929,0.3014,0,0.6254,0.3049,,,,,629,144
ravasi_edward,UAE Team Emirates,0.285272,0.3301,-0.1417,0.8881,0,0.4602,0.1932,,,,,681,137
ravbar_anže,UAE Team Emirates,-0.566987,-0.4328,-0.8866,0.7431,0,0.6044,0.2332,,,,,590,22
riabushenko_alexandr,UAE Team Emirates,0.182258,0.1999,-0.1475,0.6864,0,0.5093,0.2638,,,,,973,212
richeze_maximiliano,UAE Team Emirates,-0.078084,-0.0751,-0.383,0.4383,0,0.5153,0.1636,,,,,729,194
schwarzbacher_matthias,UAE Team Emirates,1.003367,1.7275,0.1103,4.7275,1,-0.3222,0.1885,,,,,299,13
soler_marc,UAE Team Emirates,0.044209,0.0452,-0.3506,0.6237,0,0.6756,0.2937,,,,,1167,290
staes_gibbe,UAE Team Emirates,0.334612,0.3974,-0.2585,1.6329,0,0.0836,0.2547,,,,,590,23
suter_joel,UAE Team Emirates,-0.621843,-0.463,-0.7531,-0.02,1,0.3914,0.0197,,,,,281,62
