fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 Tour de France Stage 12.gpx,https://www.komoot.com/tour/2951447130,130.0,0.0,0.394,1.79,48.8,1.79,0.0,0.0,175.0,3.74,0.0,0.0,0.0,0.0
2025 Tour de France Stage 13.gpx,https://www.komoot.com/tour/2951447545,10.1,0.0,0.225,0.521,0.0,0.521,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0
2025 Tour de France Stage 14.gpx,https://www.komoot.com/tour/2951448019,167.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0
2025 Tour de France Stage 15.gpx,https://www.komoot.com/tour/2951448456,123.0,1.27,0.596,0.397,44.6,0.566,0.0,0.0,158.0,5.91,0.0,5.12,0.0,0.0
2025 Tour de France Stage 16.gpx,https://www.komoot.com/tour/2951448857,147.0,6.49,0.0,0.0,17.5,0.0,0.0,0.0,171.0,0.159,0.0,0.0,0.0,0.0
2025 Tour de France Stage 17.gpx,https://www.komoot.com/tour/2951449318,142.0,12.5,0.335,0.0,5.49,0.0,0.0,0.0,159.0,1.38,0.0,0.0,0.0,0.0
2025 Tour de France Stage 18.gpx,https://www.komoot.com/tour/2951449888,130.0,23.0,4.36,0.486,14.5,0.486,0.136,0.0,170.0,1.77,0.0,0.0,0.0,0.0
2025 Tour de France Stage 19.gpx,https://www.komoot.com/tour/2951450288,80.1,1.97,0.0,0.0,11.2,0.0,0.0,0.0,93.3,0.0,0.0,0.0,0.0,0.0
2025 Tour de France Stage 2.gpx,https://www.komoot.com/tour/2951450714,167.0,1.59,2.38,0.414,38.2,0.0,0.109,0.0,208.0,1.5,0.703,0.0,0.0,0.0
2025 Tour de France Stage 20.gpx,https://www.komoot.com/tour/2951451445,141.0,3.61,0.492,0.102,38.8,0.0,1.17,0.0,184.0,0.764,0.0,0.605,0.0,0.0
2025 Tour de France Stage 21.gpx,https://www.komoot.com/tour/2951452670,29.8,36.8,5.51,13.0,39.7,12.9,2.77,0.269,79.3,2.8,32.9,0.0,0.0,0.382
2025 Tour de France Stage 3.gpx,https://www.komoot.com/tour/2951453492,101.0,31.7,1.73,1.33,42.4,1.16,0.301,0.0,173.0,2.56,1.12,0.0,0.301,0.139
2025 Tour de France Stage 4.gpx,https://www.komoot.com/tour/2951454481,116.0,2.78,3.61,0.438,51.6,0.355,0.0,0.0,169.0,4.91,0.0,0.0,0.0,0.0
2025 Tour de France Stage 5.gpx,https://www.komoot.com/tour/2951455014,29.6,2.02,1.29,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
2025 Tour de France Stage 6.gpx,https://www.komoot.com/tour/2951455560,168.0,0.0,1.44,0.0,32.6,0.0,0.0,0.0,198.0,3.66,0.0,0.0,0.0,0.0
2025 Tour de France Stage 7.gpx,https://www.komoot.com/tour/2951456048,146.0,6.39,1.83,0.433,41.8,0.433,0.428,0.0,191.0,5.37,0.2,0.0,0.0,0.0
2025 Tour de France Stage 8.gpx,https://www.komoot.com/tour/2951456740,149.0,3.89,2.03,0.368,15.9,0.368,0.0,0.0,169.0,1.8,0.0,0.0,0.0,0.0
2025 Tour de France Stage 9.gpx,https://www.komoot.com/tour/2951457582,93.8,3.95,0.917,1.15,74.2,0.0,0.0,0.0,172.0,1.63,0.112,0.0,0.0,0.0
2025 Tour de Pologne Stage 1.gpx,https://www.komoot.com/tour/2951458835,153.0,2.43,5.48,0.804,38.0,0.703,0.0,0.0,194.0,3.31,1.51,0.0,0.0,0.0
2025 Tour de Pologne Stage 2.gpx,https://www.komoot.com/tour/2951460810,131.0,0.0,4.51,0.0,12.3,0.0,0.0,0.0,148.0,0.234,0.38,0.0,0.0,0.0
2025 Tour de Pologne Stage 3.gpx,https://www.komoot.com/tour/2951461430,148.0,3.25,5.39,0.633,0.88,0.0,1.24,0.239,147.0,7.21,3.92,0.239,0.0,0.0
2025 Tour de Pologne Stage 4.gpx,https://www.komoot.com/tour/2951462391,180.0,3.1,18.1,0.0,0.0,0.0,0.259,0.0,189.0,10.3,2.61,0.0,0.0,0.0
2025 Tour de Pologne Stage 5.gpx,https://www.komoot.com/tour/2951463307,188.0,1.02,12.2,0.764,1.55,0.474,0.631,0.0,201.0,3.24,0.255,0.242,0.0,0.0
